"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 20 14:37:39 BRT 2022","Fri May 20 14:38:10 BRT 2022","31237","","Access Admin Panel","","Access Admin Panel","Should Login with Valid Credentials","Should Login with Valid Credentials",""
"passed","Thu May 19 15:22:18 BRT 2022","Thu May 19 15:22:57 BRT 2022","38443","","Access Admin Panel","","Access Admin Panel","Should Login with Valid Credentials","Should Login with Valid Credentials",""
